STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070914,-9999,0,0,0,206,122,41,10,20,94,107,1144
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070915,-9999,0,0,0,206,83,28,190,170,63,81,1510
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070916,-9999,58,0,0,239,139,32,210,210,63,94,2330
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070917,-9999,0,0,0,306,139,69,190,200,76,107,2156
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070918,-9999,135,0,0,311,206,49,230,220,116,179,1417
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070919,-9999,13,0,0,300,200,19,320,320,67,81,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070920,-9999,0,0,0,317,211,31,210,190,67,89,1506
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070921,-9999,99,0,0,317,211,41,320,330,89,107,1936
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070922,-9999,0,0,0,289,172,33,80,70,72,98,856
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070923,-9999,0,0,0,306,194,27,160,180,76,112,1714
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070924,-9999,0,0,0,311,233,61,200,200,107,139,1226
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070925,-9999,333,0,0,256,144,34,190,180,112,143,352
