STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070926,0,0,0,161,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070927,0,0,0,178,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070928,-9999,0,0,222,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070929,-9999,0,0,250,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070930,-9999,0,0,200,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071001,-9999,0,0,161,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071002,-9999,0,0,211,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071003,-9999,0,0,161,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071004,0,0,0,200,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071005,-9999,0,0,222,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071006,-9999,0,0,222,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071007,-9999,0,0,172,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071008,-9999,0,0,89,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071009,-9999,0,0,172,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071010,-9999,0,0,211,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071011,-9999,0,0,228,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071012,0,0,0,228,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071013,0,0,0,228,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071014,-9999,0,0,150,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071015,-9999,0,0,72,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071016,-9999,0,0,128,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071017,-9999,0,0,150,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071018,-9999,0,0,78,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071019,-9999,0,0,61,-11
